idx,site_id,site_name_proposed,source,name_basin,lon,lat,total_score,bulkley_falls_downstream,floodplain_ind,owner_type,name_wet_house,house,clan,clan_english,chiefs,model_spawning_ch,model_spawning_co,model_spawning_st,model_spawning_ch_score,model_spawning_co_score,model_spawning_st_score,model_rearing_ch,model_rearing_co,model_rearing_st,model_rearing_ch_score,model_rearing_co_score,model_rearing_st_score,gate_diagnostic_certainty,gate_active_degradation_clear,gate_access_willingness,project_type,watershed_function_gain,root_cause_alignment,scale_of_benefit_ha,fish_habitat_connectivity,probability_of_success,cultural_significance,collective_wellbeing,passive_first_bonus,delivery_bucket,framework_score,notes
165,NA,NA,ncfdc_1998_riparian,NA,-127.62905956019111,55.25229639984054,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,NA,ncfdc_1998_riparian,NA,-127.61932812124665,55.255260243488614,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,NA,NA,ncfdc_1998_riparian,NA,-127.60438637981592,55.25733705470298,27,0,1,Federal,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,ncfdc_1998_riparian,NA,-127.60334332820761,55.26105471712364,27,0,1,Federal,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,NA,NA,ncfdc_1998_riparian,NA,-127.58001942798359,55.26287958879658,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,ncfdc_1998_riparian,NA,-127.5658939717114,55.258760164238325,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,NA,ncfdc_1998_riparian,NA,-127.66031951362669,55.25234695151991,27,0,1,Local Government,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,NA,NA,ncfdc_1998_riparian,NA,-127.65586673954276,55.25049162618064,27,0,1,Local Government,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,NA,ncfdc_1998_riparian,NA,-127.652480625875,55.2473448133875,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,ncfdc_1998_riparian,NA,-127.64251508132163,55.2494182000699,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,NA,ncfdc_1998_riparian,NA,-127.62902779683164,55.25230503000359,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,NA,NA,ncfdc_1998_riparian,NA,-127.6147503936638,55.257041715394756,27,0,1,Federal,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,NA,NA,ncfdc_1998_riparian,NA,-127.58802781981015,55.26559668515218,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,NA,NA,ncfdc_1998_riparian,NA,-127.57859779291796,55.260382630648564,27,0,1,Local Government,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,NA,NA,ncfdc_1998_riparian,NA,-127.528021385191,55.26930049816826,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,ncfdc_1998_riparian,NA,-127.52504808481582,55.268833231038435,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,NA,NA,ncfdc_1998_riparian,NA,-127.52360899280386,55.268591158252384,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,NA,NA,ncfdc_1998_riparian,NA,-127.51806637725821,55.26822742546253,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,NA,ncfdc_1998_riparian,NA,-127.5119211590859,55.26672372313911,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,NA,NA,ncfdc_1998_riparian,NA,-127.50831218211314,55.26516984368799,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,NA,NA,ncfdc_1998_riparian,NA,-127.50656746677033,55.26469016867029,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,NA,NA,ncfdc_1998_riparian,NA,-127.50474232293546,55.2646768124539,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,NA,NA,ncfdc_1998_riparian,NA,-127.50265602195348,55.264911864608024,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,NA,NA,ncfdc_1998_riparian,NA,-127.4933593048178,55.26021404125586,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,NA,ncfdc_1998_riparian,NA,-127.4793992743304,55.263141491151124,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,NA,ncfdc_1998_riparian,NA,-127.46021462927007,55.25785918889028,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,NA,ncfdc_1998_riparian,NA,-127.45435870870294,55.25548445356175,30,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,NA,ncfdc_1998_riparian,NA,-127.45300434758407,55.253894536377985,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,NA,ncfdc_1998_riparian,NA,-127.45329828238175,55.24875758697255,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,NA,ncfdc_1998_riparian,NA,-127.45943680606823,55.2348511509773,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,NA,ncfdc_1998_riparian,NA,-127.44751861411133,55.23155456331142,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,NA,NA,ncfdc_1998_riparian,NA,-127.44488617893869,55.2180132141703,27,0,1,Untitled Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,NA,NA,ncfdc_1998_riparian,NA,-127.66941957030606,55.251215291510775,27,0,1,Local Government,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,NA,NA,ncfdc_1998_riparian,NA,-127.66694371623196,55.25232961126522,27,0,1,Local Government,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,NA,ncfdc_1998_riparian,NA,-127.65616039006527,55.25064763732565,27,0,1,Local Government,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,NA,NA,ncfdc_1998_riparian,NA,-127.63315475858163,55.2507875890753,27,0,1,Crown Provincial,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,NA,ncfdc_1998_riparian,NA,-127.62205792497652,55.25458112256137,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,NA,NA,ncfdc_1998_riparian,NA,-127.6187679759237,55.25553250161526,17,0,1,Private,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,NA,NA,ncfdc_1998_riparian,NA,-127.61541787711232,55.256851575756656,27,0,1,Federal,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,NA,NA,ncfdc_1998_riparian,NA,-127.6124215901637,55.25704222446715,27,0,1,Federal,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Meints_01,NA,form_monitoring_ree_2024.gpkg,Bulkley Houston-McKilligan,-126.5155257511008,54.46002450046399,20,0,1,Private,Tse Zul,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,form_monitoring_ree_20240923.gpkg,Bulkley Houston-McKilligan,-126.48093647876435,54.478241064872,17,0,0,Private,Tse Zul,GINEHKLAIYEX,LAKSILYU,SMALL FROG,HAGWILNEGH,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,NA,NA,form_monitoring_ree_20240923.gpkg,Bulkley Houston-McKilligan,-126.49327387679935,54.47113488006013,20,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,NA,NA,form_monitoring_ree_20240923.gpkg,Bulkley Houston-McKilligan,-126.50446756344597,54.470575523206215,14,0,1,Private,Ggusgi Be Wini,TSAIYEX,LAKSAAMISHYU,FIREWEED,SMOGELGEM,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
