yr,ano,par,period,region
1955,-3.5158,tmax,spring,Neexdzii Kwah
1956,-0.2668,tmax,spring,Neexdzii Kwah
1957,0.0603,tmax,spring,Neexdzii Kwah
1958,0.3178,tmax,spring,Neexdzii Kwah
1959,-0.7765,tmax,spring,Neexdzii Kwah
1960,-1.567,tmax,spring,Neexdzii Kwah
1961,-0.3121,tmax,spring,Neexdzii Kwah
1962,-1.9455,tmax,spring,Neexdzii Kwah
1963,-0.6785,tmax,spring,Neexdzii Kwah
1964,-2.3228,tmax,spring,Neexdzii Kwah
1965,-1.405,tmax,spring,Neexdzii Kwah
1966,-1.6712,tmax,spring,Neexdzii Kwah
1967,-2.4917,tmax,spring,Neexdzii Kwah
1968,-0.4246,tmax,spring,Neexdzii Kwah
1969,0.6012,tmax,spring,Neexdzii Kwah
1970,-0.874,tmax,spring,Neexdzii Kwah
1971,-1.2228,tmax,spring,Neexdzii Kwah
1972,-0.9888,tmax,spring,Neexdzii Kwah
1973,-0.5224,tmax,spring,Neexdzii Kwah
1974,-1.6645,tmax,spring,Neexdzii Kwah
1975,-2.026,tmax,spring,Neexdzii Kwah
1976,-1.7606,tmax,spring,Neexdzii Kwah
1977,-0.349,tmax,spring,Neexdzii Kwah
1978,-0.3979,tmax,spring,Neexdzii Kwah
1979,-0.0142,tmax,spring,Neexdzii Kwah
1980,0.7428,tmax,spring,Neexdzii Kwah
1981,0.7896,tmax,spring,Neexdzii Kwah
1982,-2.0632,tmax,spring,Neexdzii Kwah
1983,1.3671,tmax,spring,Neexdzii Kwah
1984,0.1132,tmax,spring,Neexdzii Kwah
1985,-0.3094,tmax,spring,Neexdzii Kwah
1986,-0.4966,tmax,spring,Neexdzii Kwah
1987,0.3939,tmax,spring,Neexdzii Kwah
1988,1.2812,tmax,spring,Neexdzii Kwah
1989,0.1097,tmax,spring,Neexdzii Kwah
1990,1.0964,tmax,spring,Neexdzii Kwah
1991,0.3264,tmax,spring,Neexdzii Kwah
1992,0.8449,tmax,spring,Neexdzii Kwah
1993,1.9654,tmax,spring,Neexdzii Kwah
1994,1.3596,tmax,spring,Neexdzii Kwah
1995,0.508,tmax,spring,Neexdzii Kwah
1996,-1.9703,tmax,spring,Neexdzii Kwah
1997,-0.8754,tmax,spring,Neexdzii Kwah
1998,1.2744,tmax,spring,Neexdzii Kwah
1999,-1.5164,tmax,spring,Neexdzii Kwah
2000,-0.6197,tmax,spring,Neexdzii Kwah
2001,-1.4824,tmax,spring,Neexdzii Kwah
2002,-3.5707,tmax,spring,Neexdzii Kwah
2003,-1.4804,tmax,spring,Neexdzii Kwah
2004,2.2089,tmax,spring,Neexdzii Kwah
2005,2.7254,tmax,spring,Neexdzii Kwah
2006,0.3372,tmax,spring,Neexdzii Kwah
2007,-0.8663,tmax,spring,Neexdzii Kwah
2008,-0.5782,tmax,spring,Neexdzii Kwah
2009,-1.8186,tmax,spring,Neexdzii Kwah
2010,0.9463,tmax,spring,Neexdzii Kwah
2011,-1.7567,tmax,spring,Neexdzii Kwah
2012,-0.8514,tmax,spring,Neexdzii Kwah
2013,0.2246,tmax,spring,Neexdzii Kwah
2014,-0.6634,tmax,spring,Neexdzii Kwah
2015,2.182,tmax,spring,Neexdzii Kwah
2016,3.3242,tmax,spring,Neexdzii Kwah
2017,-0.0165,tmax,spring,Neexdzii Kwah
2018,0.3795,tmax,spring,Neexdzii Kwah
2019,2.1056,tmax,spring,Neexdzii Kwah
2020,0.1973,tmax,spring,Neexdzii Kwah
2021,0.5339,tmax,spring,Neexdzii Kwah
2022,-0.589,tmax,spring,Neexdzii Kwah
2023,1.3492,tmax,spring,Neexdzii Kwah
2024,0.1785,tmax,spring,Neexdzii Kwah
2025,0.7789,tmax,spring,Neexdzii Kwah
1951,-0.1621,tmax,summer,Neexdzii Kwah
1952,-1.0635,tmax,summer,Neexdzii Kwah
1953,-1.1277,tmax,summer,Neexdzii Kwah
1954,-2.2889,tmax,summer,Neexdzii Kwah
1955,-2.3333,tmax,summer,Neexdzii Kwah
1956,-0.7203,tmax,summer,Neexdzii Kwah
1957,-2.3926,tmax,summer,Neexdzii Kwah
1958,2.3684,tmax,summer,Neexdzii Kwah
1959,-2.5102,tmax,summer,Neexdzii Kwah
1960,-1.7218,tmax,summer,Neexdzii Kwah
1961,2.5653,tmax,summer,Neexdzii Kwah
1962,-1.5947,tmax,summer,Neexdzii Kwah
1963,-0.5167,tmax,summer,Neexdzii Kwah
1964,-2.8825,tmax,summer,Neexdzii Kwah
1965,0.4885,tmax,summer,Neexdzii Kwah
1966,-1.5403,tmax,summer,Neexdzii Kwah
1967,0.7548,tmax,summer,Neexdzii Kwah
1968,-1.157,tmax,summer,Neexdzii Kwah
1969,-0.4653,tmax,summer,Neexdzii Kwah
1970,-0.7499,tmax,summer,Neexdzii Kwah
1971,0.4099,tmax,summer,Neexdzii Kwah
1972,-0.8721,tmax,summer,Neexdzii Kwah
1973,-2.2002,tmax,summer,Neexdzii Kwah
1974,-1.6748,tmax,summer,Neexdzii Kwah
1975,-2.0323,tmax,summer,Neexdzii Kwah
1976,-3.7517,tmax,summer,Neexdzii Kwah
1977,-0.2302,tmax,summer,Neexdzii Kwah
1978,0.9897,tmax,summer,Neexdzii Kwah
1979,0.6263,tmax,summer,Neexdzii Kwah
1980,-1.1465,tmax,summer,Neexdzii Kwah
1981,0.645,tmax,summer,Neexdzii Kwah
1982,1.1948,tmax,summer,Neexdzii Kwah
1983,-1.2488,tmax,summer,Neexdzii Kwah
1984,-1.3868,tmax,summer,Neexdzii Kwah
1985,0.1966,tmax,summer,Neexdzii Kwah
1986,0.2331,tmax,summer,Neexdzii Kwah
1987,0.4977,tmax,summer,Neexdzii Kwah
1988,-1.4972,tmax,summer,Neexdzii Kwah
1989,1.3672,tmax,summer,Neexdzii Kwah
1990,1.4888,tmax,summer,Neexdzii Kwah
1991,0.0861,tmax,summer,Neexdzii Kwah
1992,2.0084,tmax,summer,Neexdzii Kwah
1993,-0.7475,tmax,summer,Neexdzii Kwah
1994,1.0047,tmax,summer,Neexdzii Kwah
1995,-0.6396,tmax,summer,Neexdzii Kwah
1996,-1.3187,tmax,summer,Neexdzii Kwah
1997,-0.0555,tmax,summer,Neexdzii Kwah
1998,1.061,tmax,summer,Neexdzii Kwah
1999,-1.5732,tmax,summer,Neexdzii Kwah
2000,-1.2276,tmax,summer,Neexdzii Kwah
2001,-1.5445,tmax,summer,Neexdzii Kwah
2002,-0.6302,tmax,summer,Neexdzii Kwah
2003,-0.3153,tmax,summer,Neexdzii Kwah
2004,2,tmax,summer,Neexdzii Kwah
2005,-0.7306,tmax,summer,Neexdzii Kwah
2006,0.7891,tmax,summer,Neexdzii Kwah
2007,-0.8009,tmax,summer,Neexdzii Kwah
2008,-1.0385,tmax,summer,Neexdzii Kwah
2009,1.5278,tmax,summer,Neexdzii Kwah
2010,0.6547,tmax,summer,Neexdzii Kwah
2011,-2.3649,tmax,summer,Neexdzii Kwah
2012,0.1691,tmax,summer,Neexdzii Kwah
2013,1.335,tmax,summer,Neexdzii Kwah
2014,1.8101,tmax,summer,Neexdzii Kwah
2015,0.7939,tmax,summer,Neexdzii Kwah
2016,0.3178,tmax,summer,Neexdzii Kwah
2017,0.3951,tmax,summer,Neexdzii Kwah
2018,1.8036,tmax,summer,Neexdzii Kwah
2019,-0.13,tmax,summer,Neexdzii Kwah
2020,-1.9424,tmax,summer,Neexdzii Kwah
2021,1.9293,tmax,summer,Neexdzii Kwah
2022,1.7612,tmax,summer,Neexdzii Kwah
2023,2.7853,tmax,summer,Neexdzii Kwah
2024,1.4877,tmax,summer,Neexdzii Kwah
2025,0.6438,tmax,summer,Neexdzii Kwah
1951,-0.1193,tmax,fall,Neexdzii Kwah
1952,1.7795,tmax,fall,Neexdzii Kwah
1953,0.9963,tmax,fall,Neexdzii Kwah
1954,1.1492,tmax,fall,Neexdzii Kwah
1955,-3.644,tmax,fall,Neexdzii Kwah
1956,-0.1631,tmax,fall,Neexdzii Kwah
1957,1.4445,tmax,fall,Neexdzii Kwah
1958,-0.7983,tmax,fall,Neexdzii Kwah
1959,-1.5845,tmax,fall,Neexdzii Kwah
1960,9e-4,tmax,fall,Neexdzii Kwah
1961,-1.8006,tmax,fall,Neexdzii Kwah
1962,0.9179,tmax,fall,Neexdzii Kwah
1963,0.4249,tmax,fall,Neexdzii Kwah
1964,-0.6882,tmax,fall,Neexdzii Kwah
1965,0.243,tmax,fall,Neexdzii Kwah
1966,-1.1841,tmax,fall,Neexdzii Kwah
1967,0.7877,tmax,fall,Neexdzii Kwah
1968,-0.6989,tmax,fall,Neexdzii Kwah
1969,1.2307,tmax,fall,Neexdzii Kwah
1970,-0.8793,tmax,fall,Neexdzii Kwah
1971,-0.3251,tmax,fall,Neexdzii Kwah
1972,-0.6139,tmax,fall,Neexdzii Kwah
1973,-3.5945,tmax,fall,Neexdzii Kwah
1974,1.5768,tmax,fall,Neexdzii Kwah
1975,-0.4285,tmax,fall,Neexdzii Kwah
1976,0.726,tmax,fall,Neexdzii Kwah
1977,-1.5904,tmax,fall,Neexdzii Kwah
1978,-0.4145,tmax,fall,Neexdzii Kwah
1979,1.5946,tmax,fall,Neexdzii Kwah
1980,1.3021,tmax,fall,Neexdzii Kwah
1981,0.7064,tmax,fall,Neexdzii Kwah
1982,0.1818,tmax,fall,Neexdzii Kwah
1983,-0.4958,tmax,fall,Neexdzii Kwah
1984,-2.6691,tmax,fall,Neexdzii Kwah
1985,-4.2943,tmax,fall,Neexdzii Kwah
1986,0.9019,tmax,fall,Neexdzii Kwah
1987,2.3276,tmax,fall,Neexdzii Kwah
1988,1.2624,tmax,fall,Neexdzii Kwah
1989,2.0428,tmax,fall,Neexdzii Kwah
1990,-0.2901,tmax,fall,Neexdzii Kwah
1991,0.4337,tmax,fall,Neexdzii Kwah
1992,-1.1502,tmax,fall,Neexdzii Kwah
1993,2.3199,tmax,fall,Neexdzii Kwah
1994,-0.6076,tmax,fall,Neexdzii Kwah
1995,1.1255,tmax,fall,Neexdzii Kwah
1996,-2.9149,tmax,fall,Neexdzii Kwah
1997,0.4008,tmax,fall,Neexdzii Kwah
1998,-0.0776,tmax,fall,Neexdzii Kwah
1999,0.448,tmax,fall,Neexdzii Kwah
2000,0.0066,tmax,fall,Neexdzii Kwah
2001,-1.0307,tmax,fall,Neexdzii Kwah
2002,0.5633,tmax,fall,Neexdzii Kwah
2003,0.0446,tmax,fall,Neexdzii Kwah
2004,0.0115,tmax,fall,Neexdzii Kwah
2005,0.3921,tmax,fall,Neexdzii Kwah
2006,-0.747,tmax,fall,Neexdzii Kwah
2007,0.051,tmax,fall,Neexdzii Kwah
2008,1.0811,tmax,fall,Neexdzii Kwah
2009,0.4214,tmax,fall,Neexdzii Kwah
2010,-0.445,tmax,fall,Neexdzii Kwah
2011,-0.2255,tmax,fall,Neexdzii Kwah
2012,0.4286,tmax,fall,Neexdzii Kwah
2013,2.1937,tmax,fall,Neexdzii Kwah
2014,1.3641,tmax,fall,Neexdzii Kwah
2015,0.5403,tmax,fall,Neexdzii Kwah
2016,0.4217,tmax,fall,Neexdzii Kwah
2017,0.3099,tmax,fall,Neexdzii Kwah
2018,0.7495,tmax,fall,Neexdzii Kwah
2019,0.5481,tmax,fall,Neexdzii Kwah
2020,0.7282,tmax,fall,Neexdzii Kwah
2021,0.2743,tmax,fall,Neexdzii Kwah
2022,1.3885,tmax,fall,Neexdzii Kwah
2023,2.2429,tmax,fall,Neexdzii Kwah
2024,0.5394,tmax,fall,Neexdzii Kwah
1951,-2.2226,tmin,annual,Neexdzii Kwah
1952,-1.0437,tmin,annual,Neexdzii Kwah
1953,-0.1877,tmin,annual,Neexdzii Kwah
1954,-1.115,tmin,annual,Neexdzii Kwah
1955,-2.9187,tmin,annual,Neexdzii Kwah
1956,-1.6095,tmin,annual,Neexdzii Kwah
1957,-1.3379,tmin,annual,Neexdzii Kwah
1958,0.4745,tmin,annual,Neexdzii Kwah
1959,-1.4917,tmin,annual,Neexdzii Kwah
1960,-1.2464,tmin,annual,Neexdzii Kwah
1961,-0.9101,tmin,annual,Neexdzii Kwah
1962,-0.8114,tmin,annual,Neexdzii Kwah
1963,-0.1104,tmin,annual,Neexdzii Kwah
1964,-1.9221,tmin,annual,Neexdzii Kwah
1965,-1.0722,tmin,annual,Neexdzii Kwah
1966,-1.3568,tmin,annual,Neexdzii Kwah
1967,-0.4636,tmin,annual,Neexdzii Kwah
1968,-1.2302,tmin,annual,Neexdzii Kwah
1969,-0.9288,tmin,annual,Neexdzii Kwah
1970,-1.3279,tmin,annual,Neexdzii Kwah
1971,-1.4411,tmin,annual,Neexdzii Kwah
1972,-1.8997,tmin,annual,Neexdzii Kwah
1973,-1.8089,tmin,annual,Neexdzii Kwah
1974,-0.5169,tmin,annual,Neexdzii Kwah
1975,-1.6425,tmin,annual,Neexdzii Kwah
1976,-0.4219,tmin,annual,Neexdzii Kwah
1977,-0.5152,tmin,annual,Neexdzii Kwah
1978,-0.7138,tmin,annual,Neexdzii Kwah
1979,-0.8264,tmin,annual,Neexdzii Kwah
1980,-0.3295,tmin,annual,Neexdzii Kwah
1981,0.5798,tmin,annual,Neexdzii Kwah
1982,-1.4413,tmin,annual,Neexdzii Kwah
1983,-0.2152,tmin,annual,Neexdzii Kwah
1984,-0.9551,tmin,annual,Neexdzii Kwah
1985,-1.4271,tmin,annual,Neexdzii Kwah
1986,0.2028,tmin,annual,Neexdzii Kwah
1987,1.3117,tmin,annual,Neexdzii Kwah
1988,0.1073,tmin,annual,Neexdzii Kwah
1989,0.3042,tmin,annual,Neexdzii Kwah
1990,-0.1853,tmin,annual,Neexdzii Kwah
1991,0.4268,tmin,annual,Neexdzii Kwah
1992,0.6258,tmin,annual,Neexdzii Kwah
1993,0.3382,tmin,annual,Neexdzii Kwah
1994,0.367,tmin,annual,Neexdzii Kwah
1995,-0.0745,tmin,annual,Neexdzii Kwah
1996,-2.4103,tmin,annual,Neexdzii Kwah
1997,0.6072,tmin,annual,Neexdzii Kwah
1998,0.6424,tmin,annual,Neexdzii Kwah
1999,0.2643,tmin,annual,Neexdzii Kwah
2000,-0.5124,tmin,annual,Neexdzii Kwah
2001,-0.6018,tmin,annual,Neexdzii Kwah
2002,0.1831,tmin,annual,Neexdzii Kwah
2003,-0.155,tmin,annual,Neexdzii Kwah
2004,1.5026,tmin,annual,Neexdzii Kwah
2005,1.2259,tmin,annual,Neexdzii Kwah
2006,0.1691,tmin,annual,Neexdzii Kwah
2007,0.0105,tmin,annual,Neexdzii Kwah
2008,-0.6302,tmin,annual,Neexdzii Kwah
2009,-0.8107,tmin,annual,Neexdzii Kwah
2010,0.5503,tmin,annual,Neexdzii Kwah
2011,-0.6771,tmin,annual,Neexdzii Kwah
2012,0.025,tmin,annual,Neexdzii Kwah
2013,1.7318,tmin,annual,Neexdzii Kwah
2014,0.5661,tmin,annual,Neexdzii Kwah
2015,1.8131,tmin,annual,Neexdzii Kwah
2016,1.4906,tmin,annual,Neexdzii Kwah
2017,-0.2669,tmin,annual,Neexdzii Kwah
2018,0.8714,tmin,annual,Neexdzii Kwah
2019,0.7687,tmin,annual,Neexdzii Kwah
2020,0.4966,tmin,annual,Neexdzii Kwah
2021,0.2665,tmin,annual,Neexdzii Kwah
2022,0.3098,tmin,annual,Neexdzii Kwah
2023,2.1841,tmin,annual,Neexdzii Kwah
2024,0.894,tmin,annual,Neexdzii Kwah
1951,-4.9766,tmin,winter,Neexdzii Kwah
1952,-2.5089,tmin,winter,Neexdzii Kwah
1953,-0.1662,tmin,winter,Neexdzii Kwah
1954,-1.0554,tmin,winter,Neexdzii Kwah
1955,-1.7445,tmin,winter,Neexdzii Kwah
1956,-3.5998,tmin,winter,Neexdzii Kwah
1957,-4.0555,tmin,winter,Neexdzii Kwah
1958,1.3171,tmin,winter,Neexdzii Kwah
1959,-1.4067,tmin,winter,Neexdzii Kwah
1960,-0.9277,tmin,winter,Neexdzii Kwah
1961,-1.15,tmin,winter,Neexdzii Kwah
1962,0.0174,tmin,winter,Neexdzii Kwah
1963,1.2026,tmin,winter,Neexdzii Kwah
1964,-2.2658,tmin,winter,Neexdzii Kwah
1965,-1.2296,tmin,winter,Neexdzii Kwah
1966,-1.0246,tmin,winter,Neexdzii Kwah
1967,0.3603,tmin,winter,Neexdzii Kwah
1968,-2.6625,tmin,winter,Neexdzii Kwah
1969,-4.3262,tmin,winter,Neexdzii Kwah
1970,-1.7926,tmin,winter,Neexdzii Kwah
1971,-3.4955,tmin,winter,Neexdzii Kwah
1972,-4.5835,tmin,winter,Neexdzii Kwah
1973,-0.7212,tmin,winter,Neexdzii Kwah
1974,0.1755,tmin,winter,Neexdzii Kwah
1975,-2.8552,tmin,winter,Neexdzii Kwah
1976,1.633,tmin,winter,Neexdzii Kwah
1977,-0.5115,tmin,winter,Neexdzii Kwah
1978,-2.3436,tmin,winter,Neexdzii Kwah
1979,-4.4703,tmin,winter,Neexdzii Kwah
1980,-2.6527,tmin,winter,Neexdzii Kwah
1981,1.1438,tmin,winter,Neexdzii Kwah
1982,-3.9053,tmin,winter,Neexdzii Kwah
1983,-0.8647,tmin,winter,Neexdzii Kwah
1984,-0.2342,tmin,winter,Neexdzii Kwah
1985,0.3941,tmin,winter,Neexdzii Kwah
1986,0.3073,tmin,winter,Neexdzii Kwah
1987,2.6756,tmin,winter,Neexdzii Kwah
1988,-0.36870000000000003,tmin,winter,Neexdzii Kwah
1989,-0.8494,tmin,winter,Neexdzii Kwah
1990,-1.6023,tmin,winter,Neexdzii Kwah
1991,2.0515,tmin,winter,Neexdzii Kwah
1992,0.9337,tmin,winter,Neexdzii Kwah
1993,-0.9597,tmin,winter,Neexdzii Kwah
1994,-0.576,tmin,winter,Neexdzii Kwah
1995,-0.6341,tmin,winter,Neexdzii Kwah
1996,-4.4989,tmin,winter,Neexdzii Kwah
1997,2.6664,tmin,winter,Neexdzii Kwah
1998,0.0257,tmin,winter,Neexdzii Kwah
1999,2.5246,tmin,winter,Neexdzii Kwah
2000,-1.4477,tmin,winter,Neexdzii Kwah
2001,-0.0054,tmin,winter,Neexdzii Kwah
2002,2.7378,tmin,winter,Neexdzii Kwah
2003,0.9165,tmin,winter,Neexdzii Kwah
2004,1.2001,tmin,winter,Neexdzii Kwah
2005,1.6435,tmin,winter,Neexdzii Kwah
2006,1.5607,tmin,winter,Neexdzii Kwah
2007,-0.0516,tmin,winter,Neexdzii Kwah
2008,-2.3958,tmin,winter,Neexdzii Kwah
2009,-3.1753,tmin,winter,Neexdzii Kwah
2010,0.7879,tmin,winter,Neexdzii Kwah
2011,-0.4631,tmin,winter,Neexdzii Kwah
2012,-0.0488,tmin,winter,Neexdzii Kwah
2013,3.477,tmin,winter,Neexdzii Kwah
2014,0.0349,tmin,winter,Neexdzii Kwah
2015,3.0215,tmin,winter,Neexdzii Kwah
2016,0.5162,tmin,winter,Neexdzii Kwah
2017,-1.9831,tmin,winter,Neexdzii Kwah
2018,0.4739,tmin,winter,Neexdzii Kwah
2019,-0.1285,tmin,winter,Neexdzii Kwah
2020,1.6416,tmin,winter,Neexdzii Kwah
2021,-2.6577,tmin,winter,Neexdzii Kwah
2022,-1.0663,tmin,winter,Neexdzii Kwah
2023,3.5927,tmin,winter,Neexdzii Kwah
2024,0.7447,tmin,winter,Neexdzii Kwah
2025,-1.4837,tmin,winter,Neexdzii Kwah
1951,-2.4841,tmin,spring,Neexdzii Kwah
1952,-1.6327,tmin,spring,Neexdzii Kwah
1953,-0.6832,tmin,spring,Neexdzii Kwah
1954,-2.8518,tmin,spring,Neexdzii Kwah
1955,-3.3419,tmin,spring,Neexdzii Kwah
1956,-0.9276,tmin,spring,Neexdzii Kwah
1957,0.0315,tmin,spring,Neexdzii Kwah
1958,0.0078,tmin,spring,Neexdzii Kwah
1959,-0.5692,tmin,spring,Neexdzii Kwah
1960,-1.4215,tmin,spring,Neexdzii Kwah
1961,-0.8744,tmin,spring,Neexdzii Kwah
1962,-2.2703,tmin,spring,Neexdzii Kwah
1963,-1.0285,tmin,spring,Neexdzii Kwah
1964,-2.0356,tmin,spring,Neexdzii Kwah
1965,-1.9724,tmin,spring,Neexdzii Kwah
1966,-1.4348,tmin,spring,Neexdzii Kwah
1967,-2.4371,tmin,spring,Neexdzii Kwah
1968,-0.1788,tmin,spring,Neexdzii Kwah
1969,0.0087,tmin,spring,Neexdzii Kwah
1970,-0.3857,tmin,spring,Neexdzii Kwah
1971,-1.2704,tmin,spring,Neexdzii Kwah
1972,-1.1175,tmin,spring,Neexdzii Kwah
1973,-0.0573,tmin,spring,Neexdzii Kwah
1974,-1.0716,tmin,spring,Neexdzii Kwah
1975,-1.7555,tmin,spring,Neexdzii Kwah
1976,-1.2088,tmin,spring,Neexdzii Kwah
1977,-0.0808,tmin,spring,Neexdzii Kwah
1978,-0.3208,tmin,spring,Neexdzii Kwah
1979,0.3624,tmin,spring,Neexdzii Kwah
1980,0.3335,tmin,spring,Neexdzii Kwah
1981,0.5203,tmin,spring,Neexdzii Kwah
1982,-2.2158,tmin,spring,Neexdzii Kwah
1983,0.4486,tmin,spring,Neexdzii Kwah
1984,0.3263,tmin,spring,Neexdzii Kwah
1985,-0.4524,tmin,spring,Neexdzii Kwah
1986,0.2076,tmin,spring,Neexdzii Kwah
1987,0.2165,tmin,spring,Neexdzii Kwah
1988,0.9058,tmin,spring,Neexdzii Kwah
1989,-0.4686,tmin,spring,Neexdzii Kwah
1990,0.7689,tmin,spring,Neexdzii Kwah
1991,-0.5406,tmin,spring,Neexdzii Kwah
1992,1.0152,tmin,spring,Neexdzii Kwah
1993,1.1489,tmin,spring,Neexdzii Kwah
1994,1.3464,tmin,spring,Neexdzii Kwah
1995,0.0233,tmin,spring,Neexdzii Kwah
1996,-1.3064,tmin,spring,Neexdzii Kwah
1997,-0.8103,tmin,spring,Neexdzii Kwah
1998,0.867,tmin,spring,Neexdzii Kwah
1999,-0.6025,tmin,spring,Neexdzii Kwah
2000,-0.1388,tmin,spring,Neexdzii Kwah
2001,-0.6887,tmin,spring,Neexdzii Kwah
2002,-2.7135,tmin,spring,Neexdzii Kwah
2003,-1.1506,tmin,spring,Neexdzii Kwah
2004,2.0478,tmin,spring,Neexdzii Kwah
2005,2.2826,tmin,spring,Neexdzii Kwah
2006,-0.2895,tmin,spring,Neexdzii Kwah
2007,-0.0787,tmin,spring,Neexdzii Kwah
2008,-0.4706,tmin,spring,Neexdzii Kwah
2009,-1.4322,tmin,spring,Neexdzii Kwah
2010,1.2339,tmin,spring,Neexdzii Kwah
2011,-1.2982,tmin,spring,Neexdzii Kwah
2012,-0.1256,tmin,spring,Neexdzii Kwah
2013,0.046,tmin,spring,Neexdzii Kwah
2014,-0.2387,tmin,spring,Neexdzii Kwah
2015,2.2551,tmin,spring,Neexdzii Kwah
2016,2.8323,tmin,spring,Neexdzii Kwah
2017,0.1302,tmin,spring,Neexdzii Kwah
2018,0.3177,tmin,spring,Neexdzii Kwah
2019,0.9132,tmin,spring,Neexdzii Kwah
2020,-0.3838,tmin,spring,Neexdzii Kwah
2021,0.744,tmin,spring,Neexdzii Kwah
2022,-0.0044,tmin,spring,Neexdzii Kwah
2023,0.7561,tmin,spring,Neexdzii Kwah
2024,0.1947,tmin,spring,Neexdzii Kwah
2025,1.0268,tmin,spring,Neexdzii Kwah
1951,-0.7004,tmin,summer,Neexdzii Kwah
1952,-1.487,tmin,summer,Neexdzii Kwah
1953,-0.8394,tmin,summer,Neexdzii Kwah
1954,-2.0507,tmin,summer,Neexdzii Kwah
1955,-2.1881,tmin,summer,Neexdzii Kwah
1956,-1.0121,tmin,summer,Neexdzii Kwah
1957,-1.9768,tmin,summer,Neexdzii Kwah
1958,1.3255,tmin,summer,Neexdzii Kwah
1959,-2.1698,tmin,summer,Neexdzii Kwah
1960,-2.1853,tmin,summer,Neexdzii Kwah
1961,0.7112,tmin,summer,Neexdzii Kwah
1962,-2.0868,tmin,summer,Neexdzii Kwah
1963,-0.8823,tmin,summer,Neexdzii Kwah
1964,-2.2939,tmin,summer,Neexdzii Kwah
1965,-0.7874,tmin,summer,Neexdzii Kwah
1966,-1.505,tmin,summer,Neexdzii Kwah
1967,-0.6134,tmin,summer,Neexdzii Kwah
1968,-1.538,tmin,summer,Neexdzii Kwah
1969,-0.4617,tmin,summer,Neexdzii Kwah
1970,-1.4192,tmin,summer,Neexdzii Kwah
1971,-0.4149,tmin,summer,Neexdzii Kwah
1972,-1.3255,tmin,summer,Neexdzii Kwah
1973,-2.6129,tmin,summer,Neexdzii Kwah
1974,-2.4205,tmin,summer,Neexdzii Kwah
1975,-1.462,tmin,summer,Neexdzii Kwah
1976,-2.806,tmin,summer,Neexdzii Kwah
1977,-0.0708,tmin,summer,Neexdzii Kwah
1978,0.3588,tmin,summer,Neexdzii Kwah
1979,-0.2469,tmin,summer,Neexdzii Kwah
1980,-0.2457,tmin,summer,Neexdzii Kwah
1981,-0.0269,tmin,summer,Neexdzii Kwah
1982,0.7111,tmin,summer,Neexdzii Kwah
1983,-0.3795,tmin,summer,Neexdzii Kwah
1984,-1.3996,tmin,summer,Neexdzii Kwah
1985,-0.6268,tmin,summer,Neexdzii Kwah
1986,-0.4159,tmin,summer,Neexdzii Kwah
1987,0.2391,tmin,summer,Neexdzii Kwah
1988,-0.9199,tmin,summer,Neexdzii Kwah
1989,1.0107,tmin,summer,Neexdzii Kwah
1990,1.1543,tmin,summer,Neexdzii Kwah
1991,0.2321,tmin,summer,Neexdzii Kwah
1992,1.106,tmin,summer,Neexdzii Kwah
1993,0.0014,tmin,summer,Neexdzii Kwah
1994,0.8306,tmin,summer,Neexdzii Kwah
1995,-0.4029,tmin,summer,Neexdzii Kwah
1996,-1.151,tmin,summer,Neexdzii Kwah
1997,-0.0134,tmin,summer,Neexdzii Kwah
1998,1.3683,tmin,summer,Neexdzii Kwah
1999,-0.8227,tmin,summer,Neexdzii Kwah
2000,-0.6258,tmin,summer,Neexdzii Kwah
2001,-1.318,tmin,summer,Neexdzii Kwah
2002,-0.6133,tmin,summer,Neexdzii Kwah
2003,-0.082,tmin,summer,Neexdzii Kwah
2004,2.0427,tmin,summer,Neexdzii Kwah
2005,0.1588,tmin,summer,Neexdzii Kwah
2006,0.3094,tmin,summer,Neexdzii Kwah
2007,-0.3903,tmin,summer,Neexdzii Kwah
2008,-0.904,tmin,summer,Neexdzii Kwah
2009,0.9441,tmin,summer,Neexdzii Kwah
2010,-0.0167,tmin,summer,Neexdzii Kwah
2011,-1.1636,tmin,summer,Neexdzii Kwah
2012,0.2712,tmin,summer,Neexdzii Kwah
2013,1.4125,tmin,summer,Neexdzii Kwah
2014,1.0266,tmin,summer,Neexdzii Kwah
2015,1.1819,tmin,summer,Neexdzii Kwah
2016,1.1593,tmin,summer,Neexdzii Kwah
2017,0.3969,tmin,summer,Neexdzii Kwah
2018,1.1756,tmin,summer,Neexdzii Kwah
2019,0.7814,tmin,summer,Neexdzii Kwah
2020,-0.403,tmin,summer,Neexdzii Kwah
2021,2.0139,tmin,summer,Neexdzii Kwah
2022,1.6664,tmin,summer,Neexdzii Kwah
2023,2.0314,tmin,summer,Neexdzii Kwah
2024,1.3859,tmin,summer,Neexdzii Kwah
2025,0.5268,tmin,summer,Neexdzii Kwah
1951,-0.7291,tmin,fall,Neexdzii Kwah
1952,1.4539,tmin,fall,Neexdzii Kwah
1953,0.9379,tmin,fall,Neexdzii Kwah
1954,1.4981,tmin,fall,Neexdzii Kwah
1955,-4.4004,tmin,fall,Neexdzii Kwah
1956,-0.8983,tmin,fall,Neexdzii Kwah
1957,0.6491,tmin,fall,Neexdzii Kwah
1958,-0.7524,tmin,fall,Neexdzii Kwah
1959,-1.8212,tmin,fall,Neexdzii Kwah
