scenario_id,species,min_order,anchor_order,flood_factor,slope_threshold,max_width,cost_threshold,size_threshold,hole_threshold,lakes,wetlands,wetland_filter,description,ecological_process,citations
co_ff02,co,3,1,2,9,2000,2500,5000,2500,TRUE,TRUE,network,Flood-prone width / active channel margin,Active channel margin,hall_etal2007Predictingriver;bair_etal2021newdatadriven;nagel_etal2014LandscapeScale
co_ff04,co,3,1,4,9,2000,2500,5000,2500,TRUE,TRUE,network,Functional floodplain,Functional floodplain,hall_etal2007Predictingriver;nagel_etal2014LandscapeScale;opperman_etal2010EcologicallyFunctional;rosenfeld_etal2008EffectsSide;morley_etal2005Juvenilesalmonid
co_ff06,co,3,1,6,9,2000,2500,5000,2500,TRUE,TRUE,network,Valley bottom extent,Valley bottom,nagel_etal2014LandscaleScale;opperman_etal2010EcologicallyFunctional;beechie_etal2010ProcessbasedPrinciples;cluer_thorne2014StreamEvolution;hauer_etal2016Gravelbedriver
