year,item,link_view,link_download
2024,195943_stock_barren_station,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/195943_stock_barren_station/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/195943_stock_barren_station/odm_dem/dsm.tif</a>"
2024,bulkley-groot05,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-groot05/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-groot05/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-groot05/odm_orthophoto/odm_orthophoto.tif</a>"
2024,bulkley-groot05,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-groot05/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-groot05/odm_dem/dtm.tif</a>"
2024,bulkley-groot05,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-groot05/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-groot05/odm_dem/dsm.tif</a>"
2024,bulkley-byman-richfield,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-byman-richfield/ortho.tif"" target=""_blank"">ortho</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-byman-richfield/ortho.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2024/bulkley-byman-richfield/ortho.tif</a>"
2025,bulkley_bul24,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul24/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul24/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul24/odm_orthophoto/odm_orthophoto.tif</a>"
2025,bulkley_bul24,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul24/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul24/odm_dem/dtm.tif</a>"
2025,bulkley_bul24,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul24/odm_dem/dsm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/bulkley_bul24/odm_dem/dsm.tif</a>"
2025,maxan_mx1,"<a href=""https://viewer.a11s.one/?cog=https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx1/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">odm_orthophoto</a>","<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx1/odm_orthophoto/odm_orthophoto.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx1/odm_orthophoto/odm_orthophoto.tif</a>"
2025,maxan_mx1,-,"<a href=""https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx1/odm_dem/dtm.tif"" target=""_blank"">https://imagery-uav-bc.s3.amazonaws.com/skeena/bulkley/2025/maxan_mx1/odm_dem/dtm.tif</a>"
